מספר/שם מבנה,"מספר מגרש בתב""ע",מספר דירה,טיפוס דירה (תשריט),קומה,מספר חדרים,שטח דירה (מטר),שטח מרפסת שמש ו/או שטח גינה צמודה,שטח מחסן,מספר מחסן,מספרי חניות,מספרי חניות,כיוונים,מחירון נכון ליום 15.2.22
בנין 1,101,1,BG,0,5,127.68,130.44,9.79,51,240,,דר-מז,3.017.356
בנין 1,101,2,CG,0,3,74.29,66.37,8.49,55,234,,מזרח,1.751.249
בנין 1,101,4,B,1,5,127.68,12.26,5.11,40,251,,דר-מז,2.296.537
בנין 1,101,5,C,1,3,74.29,12.43,7.05,38,235,,מזרח,1.415.731
בנין 1,101,6,AA,1,6,137.69,16.8,7.11,50,250,116,מז-צפ,2.559.525
בנין 1,101,7,B,2,5,127.68,12.26,7.28,49,249,,דר-מז,2.335.021
בנין 1,101,8,C,2,3,74.29,12.43,13.1,33,120,,מזרח,1.471.612
בנין 1,101,9,AA,2,6,137.69,16.8,11.03,42,246,,מז-צפ,2.561.481
בנין 1,101,10,E,2,5,124.16,14.19,7.7,41,245,,מע-צפ,2.294.571
בנין 1,101,11,D,2,6,138.66,14.19,8.09,54,233,,מע-דר,2.544.608
בנין 1,101,12,B,3,5,127.68,12.26,10.5,53,232,,דר-מז,2.381.046
בנין 1,101,13,C,3,3,74.29,12.43,10.71,31,122,,מזרח,1.470.152
בנין 1,101,14,AA,3,6,137.69,16.8,10.31,56,231,,מז-צפ,2.582.655
בנין 1,101,15,E,3,5,124.16,14.19,10.71,57,230,,מע-צפ,2.338.736
בנין 1,101,16,D,3,6,138.66,14.19,10.71,58,229,,מע-דר,2.588.635
בנין 1,101,17,B,4,5,127.68,12.26,10.71,59,228,,דר-מז,2.406.560
בנין 1,101,18,,4,3,74.29,12.43,10.31,29,124,,מזרח,1.482.217
בנין 1,101,19,AA,4,6,137.69,16.8,13.1,60,227,,מז-צפ,2.628.171
בנין 1,101,20,E,4,5,124.16,14.19,11.31,61,226,,מע-צפ,2.366.537
בנין 1,101,21,D,4,6,138.66,14.19,10.71,62,225,,מע-דר,2.614.783
בנין 1,101,22,B,5,5,127.68,12.26,10.91,63,224,,דר-מז,2.407.952
בנין 1,101,23,C,5,3,74.29,12.43,0,0,239,,מזרח,1.410.424
בנין 1,101,24,AA,5,6,137.69,16.8,11.84,64,268,,מז-צפ,2.619.397
בנין 1,101,25,E,5,5,124.16,14.19,6.38,52,259,,מע-צפ,2.332.208
בנין 1,101,26,D,5,6,138.66,14.19,7.49,48,252,,מע-דר,2.592.361
בנין 1,101,27,B,6,5,127.68,12.26,6.69,47,253,,דר-מז,2.378.567
בנין 1,101,28,C,6,3,74.29,12.43,0,0,241,,מזרח,1.410.424
בנין 1,101,29,AA,6,6,137.69,16.8,10.63,46,247,248,מז-צפ,2.663.197
בנין 1,101,30,E,6,5,124.16,14.19,9.82,39,154,,מע-צפ,2.356.162
