מספר/שם מבנה,"מספר מגרש בתב""ע",מספר דירה,טיפוס דירה (תשריט) ,קומה,מספר חדרים,שטח דירה (מטר),שטח מרפסת שמש ו/או שטח גינה צמודה,שטח מחסן,מספר מחסן,מספרי חניות,מספרי חניות,כיוונים,מחירון נכון ליום 15.2.22
בנין 2,101,1,BG,0,5,127.68,154.21,6.37,42,64,,דר-מז,3.117.682
בנין 2,101,2,CG,0,3,74.29,97.04,6.72,41,65,,מזרח,1.899.100
בנין 2,101,4,B,1,5,127.68,12.26,8.45,40,161,,דר-מז,2.319.098
בנין 2,101,5,C,1,3,74.29,12.43,11.11,65,169,,מזרח,1.443.154
בנין 2,101,6,A,1,6,137.79,16.8,9.79,75,218,219,מז-צפ,2.579.315
בנין 2,101,7,B,2,5,127.68,12.26,10.45,73,215,,דר-מז,2.356.654
בנין 2,101,8,C,2,3,74.29,12.43,0,0,176,,מזרח,1.382.216
בנין 2,101,9,A,2,6,137.79,16.8,11.27,52,110,111,מז-צפ,2.616.006
בנין 2,101,10,E,2,5,124.16,14.19,11.43,50,73,,מע-צפ,2.320.025
בנין 2,101,11,D,2,6,138.66,14.19,11.28,17,47,48,מע-דר,2.617.559
בנין 2,101,12,B,3,5,127.68,12.26,7.52,36,60,,דר-מז,2.360.503
בנין 2,101,13,C,3,3,74.29,12.43,8.67,24,177,,מזרח,1.456.089
בנין 2,101,14,A,3,6,137.79,16.8,6.9,38,62,,מז-צפ,2.560.871
בנין 2,101,15,E,3,5,124.16,14.19,11.1,49,72,,מע-צפ,2.341.424
בנין 2,101,16,D,3,6,138.66,14.19,12.46,39,63,,מע-דר,2.600.700
בנין 2,101,17,B,4,5,127.68,12.26,9.5,48,71,,דר-מז,2.398.134
בנין 2,101,18,C,4,3,74.29,12.43,8.89,25,214,,מזרח,1.472.329
בנין 2,101,19,A,4,6,137.79,16.8,6.38,80,160,,מז-צפ,2.583.117
בנין 2,101,20,E,4,5,124.16,14.19,11.28,47,70,,מע-צפ,2.366.328
בנין 2,101,21,D,4,6,138.66,14.19,9.41,55,115,,מע-דר,2.605.731
בנין 2,101,22,B,5,5,127.68,12.26,11.28,46,69,,דר-מז,2.410.529
בנין 2,101,23,C,5,3,74.29,12.43,5,26,213,,מזרח,1.445.241
בנין 2,101,24,A,5,6,137.79,16.8,13.18,54,114,,מז-צפ,2.630.468
בנין 2,101,25,E,5,5,124.16,14.19,9.5,45,68,,מע-צפ,2.353.933
בנין 2,101,26,D,5,6,138.66,14.19,10.35,51,109,56,מע-דר,2.664.502
בנין 2,101,27,B,6,5,127.68,12.26,11.11,44,67,,דר-מז,2.409.345
